title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
When do consumers lose from variable electricity pricing?,https://www.sciencedirect.com/science/article/pii/S0301421526004088?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-07 00:00:00+00:00,10.1016/j.enpol.2026.115474,Saurabh Amin,,,,,消费者什么时候会因可变电价而蒙受损失？,,,fc21460b4774ffc1
Vitamin B12 alleviates spliceosomopathy via phospholipid remodeling,https://www.nature.com/articles/s41467-026-76295-9,,Biological sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Adam Antebi,,"mRNA splicing represents a fundamental level of gene regulation that alters proteomic diversity and cellular state. Its dysfunction can profoundly rewire metabolism, yet underlying mechanisms remain elusive. Here, we investigate Verheij syndrome, caused by mutations in core splicing factor PUF60, using a Caenorhabditis elegans model, human cell lines, and patient-derived samples. We demonstrate that RNP-6/PUF60 deficiency disrupts splicing of genes governing one-carbon metabolism and phospholipid remodeling, impairing S-adenosylmethionine/S-adenosylhomocysteine cycling and phosphatidylcholine synthesis. These perturbations trigger the integrated stress response and compromise mTORC1 signaling, causing developmental growth defects. Vitamin B12 supplementation restores metabolic balance by reactivating S-adenosylmethionine-dependent phospholipid remodeling and mTORC1 activity, effectively rescuing Verheij-like phenotypes. Similar responses arise from perturbing another splicing factor, PRP-19. Mechanistically, intron retention of nhr-114/HNF4 transcription factor drives these phenotypes, while restoring its splicing rescues them. Our findings implicate vitamin B12-dependent one-carbon metabolism as a metabolic modulator with therapeutic potential to mitigate Verheij syndrome and other spliceosomopathies.",nature_html,,维生素 B12 通过磷脂重塑缓解剪接病,mRNA 剪接代表基因调控的基本水平，可改变蛋白质组多样性和细胞状态。它的功能障碍可以深刻地重新连接新陈代谢，但潜在的机制仍然难以捉摸。在这里，我们使用秀丽隐杆线虫模型、人类细胞系和患者来源的样本研究了由核心剪接因子 PUF60 突变引起的 Verheij 综合征。我们证明，RNP-6/PUF60 缺陷会破坏控制一碳代谢和磷脂重塑的基因剪接，损害 S-腺苷甲硫氨酸/S-腺苷高半胱氨酸循环和磷脂酰胆碱合成。这些扰动会触发综合应激反应并损害 mTORC1 信号传导，导致发育生长缺陷。补充维生素 B12 通过重新激活 S-腺苷甲硫氨酸依赖性磷脂重塑和 mTORC1 活性来恢复代谢平衡，有效挽救 Verheij 样表型。干扰另一个剪接因子 PRP-19 也会产生类似的反应。从机制上讲，nhr-114/HNF4转录因子的内含子保留驱动了这些表型，而恢复其剪接则拯救了它们。我们的研究结果表明维生素 B12 依赖性一碳代谢作为一种代谢调节剂，具有减轻 Verheij 综合征和其他剪接病的治疗潜力。,,8cc080ba83bfd9c2
Electrical control of exchange bias in sub-10 nm regime enabled by single-nanotube patterning,https://www.nature.com/articles/s41467-026-76524-1,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Weisheng Zhao,,"Achieving stable magnetization in sub-10 nm ferromagnetic layers represents a fundamental bottleneck in spin-orbit torque magnetic random-access memory development. While exchange bias potentially offers stabilization at such scales through antiferromagnetic coupling, conventional lithography fundamentally limits nanoscale verification. Here, we introduce a lithography-free nanopatterning strategy exploiting individual carbon nanotubes as etching templates, enabling precise fabrication of exchange-biased heterostructures from tens of nanometers down to single-digit dimensions. In perpendicularly magnetized Pt/Co/IrMn stacks, we demonstrate robust exchange bias persistence even at sub-10 nm regimes and confirm effective spin-orbit torque switching through anomalous Hall effect measurements. Crucially, scaling reveals divergent switching mechanisms: Cobalt layers transition from multi-domain to abrupt single-domain reversal, while exchange bias switching maintains gradual characteristics consistent across sizes – indicating collective antiferromagnetic moment reorientation via exchange-spring dynamics. This work enables the physical patterning of sub-10 nm features for exchange bias stabilization, provides mechanistic insights into nanoscale magnetic switching, and establishes a viable pathway toward high-density spintronic memories.",nature_html,,通过单纳米管图案化实现亚 10 nm 范围内交换偏压的电控制,在亚 10 nm 铁磁层中实现稳定磁化是自旋轨道扭矩磁性随机存取存储器开发的基本瓶颈。虽然交换偏置可能通过反铁磁耦合在这种尺度上提供稳定性，但传统光刻从根本上限制了纳米级验证。在这里，我们引入了一种无需光刻的纳米图案化策略，利用单个碳纳米管作为蚀刻模板，从而能够精确制造从数十纳米到个位数尺寸的交换偏向异质结构。在垂直磁化的 Pt/Co/IrMn 堆栈中，即使在亚 10 nm 范围内，我们也展示了强大的交换偏置持久性，并通过反常霍尔效应测量确认了有效的自旋轨道扭矩切换。至关重要的是，缩放揭示了不同的切换机制：钴层从多域过渡到突然的单域反转，而交换偏置切换在不同尺寸之间保持一致的渐进特性 - 表明通过交换弹簧动力学进行集体反铁磁矩重新定向。这项工作实现了亚 10 nm 特征的物理图案化，以实现交换偏置稳定，提供了对纳米级磁开关的机械见解，并建立了一条通向高密度自旋电子存储器的可行途径。,,177f51cf5150d872
Decoupling ferroelectric polarization and charge transport for thermally robust polymer dielectric energy storage,https://www.nature.com/articles/s41467-026-76481-9,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Di Zhou,,"Polymer dielectrics are vital for high-power electronics, yet their high-temperature application is fundamentally constrained by the inherent trade-offs among thermal stability, polarization retention, and conduction loss. Here, we mitigate these limitations by integrating high-entropy nanofillers with a preferentially oriented, wide-bandgap inorganic nanocoating to construct a multiscale heterointerfacial architecture. Within this design, entropy-driven compositional disorder enhances the structural stability and polarization response of the nanofillers, while the conformal inorganic network synergistically suppresses carrier injection and modulates bulk trap-mediated transport. Consequently, the engineered composites deliver a discharged energy density of 10.44 J cm−3 with 95% efficiency and a breakdown strength of 650 MV m−1 at room temperature. Notably, at 150 °C, the composites retain 8.35 J cm−3, 80% efficiency, and a breakdown strength of 610 MV m−1. First-principles calculations and phase-field simulations suggest multiscale field confinement that weakens electrothermal coupling and enhances high-temperature stability. This work establishes a comprehensive, multiscale design paradigm for next-generation polymer dielectric capacitors operating in extreme thermal environments.",nature_html,,解耦铁电极化和电荷传输，实现耐热聚合物介电储能,聚合物电介质对于高功率电子器件至关重要，但其高温应用从根本上受到热稳定性、极化保持和传导损耗之间固有权衡的限制。在这里，我们通过将高熵纳米填料与优先取向的宽带隙无机纳米涂层相结合来构建多尺度异质界面结构，从而缓解了这些限制。在该设计中，熵驱动的组成无序增强了纳米填料的结构稳定性和极化响应，而共形无机网络协同抑制载流子注入并调节本体陷阱介导的传输。因此，工程复合材料在室温下可提供 10.44 J cm−3 的放电能量密度、95% 的效率和 650 MV m−1 的击穿强度。值得注意的是，在 150 °C 时，复合材料保留了 8.35 J cm−3、80% 的效率和 610 MV m−1 的击穿强度。第一原理计算和相场模拟表明多尺度场限制可以减弱电热耦合并增强高温稳定性。这项工作为在极端热环境下运行的下一代聚合物介电电容器建立了全面的多尺度设计范例。,,3dd73636eb1c52fc
Evaluating technology upgrades as a complement to traditional bill assistance programs,https://www.nature.com/articles/s41467-026-76489-1,,Scientific community and society : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Galen Barbose,,"State programs to improve energy affordability and reduce energy burden (the share of income spent on energy) could mitigate concerns about rising electricity prices. Many states offer bill assistance and rebates for weatherization and rooftop solar to income-qualifying households. Here, we analyse how these approaches may complement one another to improve energy affordability. Results illustrate trade offs between program costs and energy burden reduction, as well as between a program’s upfront and ongoing costs. Generally, the three strategies complement one another to improve energy affordability at lower net present cost than bill assistance alone, with varying effects across regions. Weatherization can reduce the solar installation capacity needed, and both together can reduce or eliminate ongoing reliance on bill assistance. Under full uptake among cost-effective households, fully rebated weatherization and solar rebated at $0.48/Watt, combined with bill assistance, yield the same modelled net present cost as bill assistance alone while reducing the share of low-income owner-occupied households with high energy burdens from 66% to 19%, compared with 34% under bill assistance alone. Absent tax credits, weatherization still reduces energy burden and bill assistance program costs, whereas solar may not be cost-competitive.",nature_html,,评估技术升级作为传统账单援助计划的补充,国家提高能源负担能力和减少能源负担（能源支出占收入比例）的计划可以减轻对电价上涨的担忧。许多州向符合收入资格的家庭提供防风雨和屋顶太阳能的账单援助和回扣。在这里，我们分析这些方法如何相互补充以提高能源负担能力。结果说明了项目成本和能源负担减轻之间以及项目的前期成本和持续成本之间的权衡。一般来说，这三种策略相辅相成，以比单独的账单援助更低的净当前成本提高能源负担能力，但不同地区的效果各不相同。防风雨可以减少所需的太阳能安装容量，两者结合起来可以减少或消除对账单援助的持续依赖。在具有成本效益的家庭全面采用的情况下，按 0.48 美元/瓦的全额回扣的防风雨和太阳能回扣，与账单援助相结合，产生与单独的账单援助相同的模型净现成成本，同时将高能源负担的低收入自住家庭的比例从 66% 减少到 19%，而单独的账单援助为 34%。如果没有税收抵免，耐候性仍然可以减轻能源负担和账单援助计划成本，而太阳能可能不具有成本竞争力。,,55c2a305ac11c5f8
Atomic-scale engineering of Pt shells on chiral Au nanoparticles for enhanced oxygen reduction,https://www.nature.com/articles/s41467-026-76426-2,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Qingfeng Zhang,,"Spin selection in chiral nanocatalysts enabled by the chiral-induced spin polarization (CISS) effect has emerged as a promising strategy for boosting the performance of the oxygen reduction reaction (ORR). However, achieving atomic-scale control of catalytically active surfaces on chiral nanostructures remains challenging. Herein, we demonstrate an approach for the atomic-level engineering of Pt shells on chiral substrates to enhance ORR performance. Pt shells with controlled thicknesses are deposited on chiral Au nanoparticles through a combined protocol of cyclic underpotential deposition and galvanic replacement reaction. This strategy not only maximizes the atomic utilization efficiency of Pt but also preserves the chiral geometry of the substrate and its chiroptical activity. For the chiral Au@Pt nanocatalysts, a volcano-type relationship is observed between the Pt shell thickness and ORR performance. The chiral Au@Pt nanoparticles exhibit a capability of spin polarization due to the CISS-like effect and competitive ORR activities. This work establishes a route for fabricating catalytically active chiral nanocatalysts with CISS-like effects, thereby laying a foundation for the development of advanced spin-selective electrocatalysts.",nature_html,,手性金纳米颗粒上铂壳的原子级工程以增强氧还原,由手性诱导自旋极化（CISS）效应实现的手性纳米催化剂中的自旋选择已成为提高氧还原反应（ORR）性能的有前途的策略。然而，实现手性纳米结构催化活性表面的原子尺度控制仍然具有挑战性。在此，我们展示了一种在手性基底上对 Pt 壳进行原子级工程以增强 ORR 性能的方法。通过循环欠电位沉积和电流置换反应的组合方案，将厚度受控的 Pt 壳沉积在手性金纳米颗粒上。该策略不仅最大化了 Pt 的原子利用效率，而且保留了基底的手性几何结构及其手性光学活性。对于手性 Au@Pt 纳米催化剂，在 Pt 壳厚度和 ORR 性能之间观察到火山型关系。由于类 CISS 效应和竞争性 ORR 活性，手性 Au@Pt 纳米颗粒表现出自旋极化能力。这项工作建立了一种制备具有类似CISS效应的催化活性手性纳米催化剂的路线，从而为先进自旋选择性电催化剂的开发奠定了基础。,,2e593892ba5e0dd9
Giant negative photomagnetism in an alterlattice,https://www.nature.com/articles/s41467-026-76523-2,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Guangshe Li,,"Photomagnetism enables optical control of spin order for engineering non-equilibrium phases, yet studies remain largely confined to ferromagnetic systems. Here, we introduce the alterlattice, an emergent structural motif realized in the cation- and anion-deficient perovskite oxide La0.4Ca0.4TiO3–δ. The alterlattice is a three-dimensional alternately patterned superstructural network arising from structural competition, in which average lattice is described by Ibmm symmetry while local superstructure relaxes toward Cmmm symmetry. Within this motif, photo-induced antiferromagnetic correlations develop below 19 K. Under 473 nm illumination, the susceptibility of the alterlattice host decreases by 51.7% at 2 K and 1 T and rapidly recovers in the dark. The observed giant negative photomagnetism is associated with anisotropic strain fields that guide defect-mediated photocarrier transport, thereby driving the system from a spin-dilute paramagnetic state toward a short-range antiferromagnetic state with quasi-one-dimensional characteristics. The alterlattice opens a route to three-dimensional defect-topology engineering for non-equilibrium phases and antiferromagnetic spintronics.",nature_html,,交替晶格中的巨大负光磁性,光磁性能够对工程非平衡相的自旋顺序进行光学控制，但研究仍然主要局限于铁磁系统。在这里，我们介绍了交替晶格，这是在缺乏阳离子和阴离子的钙钛矿氧化物 La0.4Ca0.4TiO3-δ 中实现的一种新兴结构图案。交替晶格是由结构竞争产生的三维交替图案的上层结构网络，其中平均晶格由Ibmm对称性描述，而局部上层结构向Cmmm对称性弛豫。在该基序中，光诱导的反铁磁相关性在 19 K 以下发展。在 473 nm 照明下，交替晶格主体的磁化率在 2 K 和 1 T 下降低 51.7%，并在黑暗中迅速恢复。观察到的巨大负光磁性与引导缺陷介导的光载流子传输的各向异性应变场相关，从而驱动系统从自旋稀顺磁态转向具有准一维特性的短程反铁磁态。交替晶格为非平衡相和反铁磁自旋电子学的三维缺陷拓扑工程开辟了一条道路。,,518a23fff2b66913
Spatiotemporally coupled sulfur chemistry for stable silicon-90+ anodes,https://www.nature.com/articles/s41467-026-76591-4,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Xuejie Huang,,"Silicon-based materials stand as tantalizing battery anodes for markedly advancing performance indicators of today’s rechargeable lithium-ion batteries; however, their structural degradations, together with detestable side reactions residing in electrode-electrolyte interphases, greatly hinder the delivery of energy promises under practical conditions. Herein, we introduce the spatiotemporally coupled sulfur chemistry as an effective antidote to cope with the volume change and structural integrity of near-full silicon anodes, and concurrently modulate inherent properties of electrode-electrolyte interphases layers enlisting elasticity and ion diffusivity. The sulfur regulated approach is readily achieved by overlaying silicon with a homogenous layer of elemental sulfur, which is highly compatible with present production facilities for lithium-ion batteries industry. The prototype LiNi0.9Co0.05Mn0.05O2 | |Si90+ pouch cell at ampere-hour level (7.3 Ah) delivers great performances assessed simultaneously by energy density (1190 Wh L−1 for cell), specific energy (416 Wh kg−1 for cell), and cycle life (80% capacity retention after 1700 cycles). In light of the significantly improved battery performance and practical applicability, the sulfur regulated Si90+ anodes thus could be considered as a game-changer for offering reliable power source and rapidly turning emerging applications into reality.",nature_html,,用于稳定硅 90+ 阳极的时空耦合硫化学,硅基材料是诱人的电池阳极，可显着提高当今可充电锂离子电池的性能指标；然而，它们的结构退化，以及电极-电解质界面中令人讨厌的副反应，极大地阻碍了实际条件下能量承诺的实现。在此，我们引入时空耦合的硫化学作为一种有效的解毒剂，以应对近全硅阳极的体积变化和结构完整性，并同时调节电极-电解质界面层的固有特性，包括弹性和离子扩散率。通过在硅上覆盖均匀的元素硫层可以很容易地实现硫调节方法，这与锂离子电池行业现有的生产设施高度兼容。原型LiNi0.9Co0.05Mn0.05O2 | |安时级 (7.3 Ah) 的 Si90+ 软包电池可提供出色的性能，同时通过能量密度（电池为 1190 Wh L−1）、比能量（电池为 416 Wh kg−1）和循环寿命（1700 次循环后容量保持率为 80%）来评估。鉴于电池性能和实际适用性的显着提高，硫调节的 Si90+ 阳极可以被认为是提供可靠电源并快速将新兴应用变为现实的游戏规则改变者。,,7a1d494debb0ca2e
Deterministic wet etching of aspheric fiber microlenses with tunable conic geometry for tailored optical functionality,https://www.nature.com/articles/s41467-026-75331-y,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Yves De Koninck,,"Efficient coupling between guided optical fiber modes and radiated fields in the surrounding medium remains a fundamental limitation across photonics, sensing, and biophotonics. Micro-lensed fibers offer a promising solution, yet scalable fabrication with predictable geometry and deterministic optical performance has remained elusive. Here, we introduce laser-controlled wet-chemical etching (LCWCE), a single-parameter strategy that directly sculpts micro-lenses, from hyperbolic to parabolic and prolate elliptical profiles, on standard optical fibers. Local laser illumination establishes an axially confined etching-rate gradient, enabling sub-micrometer control of curvature and working distance independent of fiber type or internal structure. A physics-separated multiphysics framework combining wave optics, heat-transfer, and temperature-dependent etching kinetics captures the observed geometry evolution and validates the underlying mechanism. LCWCE enables milliwatt-scale, minimal-power fiber-based optical trapping, as well as minimally invasive in vivo dendritic detection and single-cell neural interrogation beyond 1.5 mm depth in live brains, transforming ubiquitous optical fibers into scalable, high-performance photonic probes.",nature_html,,具有可调圆锥几何形状的非球面光纤微透镜的确定性湿法蚀刻，可实现定制的光学功能,引导光纤模式与周围介质中的辐射场之间的有效耦合仍然是光子学、传感和生物光子学的基本限制。微透镜光纤提供了一种有前途的解决方案，但具有可预测的几何形状和确定性光学性能的可扩展制造仍然难以实现。在这里，我们介绍激光控制湿化学蚀刻（LCWCE），这是一种单参数策略，可在标准光纤上直接雕刻微透镜，从双曲线到抛物线和长椭圆形轮廓。局部激光照明建立了轴向限制的蚀刻速率梯度，从而能够对曲率和工作距离进行亚微米控制，而与光纤类型或内部结构无关。物理分离的多物理场框架结合了波动光学、传热和温度相关的蚀刻动力学，捕获了观察到的几何演化并验证了潜在的机制。 LCWCE 能够实现毫瓦级、基于最小功率光纤的光学捕获，以及微创体内树突检测和活体大脑中超过 1.5 毫米深度的单细胞神经询问，将无处不在的光纤转变为可扩展的高性能光子探针。,,885446455b0c528e
Iron Oxide Photoanode for Glycerol-Assisted Hydrogen Production at 8.87 mA cm–2,https://www.nature.com/articles/s41467-026-75977-8,,Physical sciences : Nature Communications subject feeds,2026-08-07 00:00:00+00:00,,Ji-Wook Jang,,"Iron oxide (α-Fe2O3) is an attractive photoanode for photoelectrochemical water splitting because of its abundance, suitable band gap, and stability in water, yet its practical use remains limited by poor charge transport and sluggish water oxidation. Here we show that these limitations can be addressed using a Ge and Ti co-doped Fe2O3 photoanode that couples glycerol oxidation with cathodic hydrogen evolution under simulated one-sun illumination (100 mW cm–2). In 1.0 M NaOH containing 2.0 M glycerol, the photoanode delivers a photocurrent density of 8.87 mA cm–2 at 1.23 V versus the reversible hydrogen electrode, above the practical benchmark of 8.1 mA cm–2. Ge incorporation also enables selective oxidation of glycerol to tartronic acid, a value-added product of glycerol oxidation. Electrochemical analyses and density functional theory calculations suggest that Ge and Ti co-doping improves charge utilisation, while Ge additionally promotes the tartronic acid-forming pathway.",nature_html,,用于在 8.87 mA cm–2 下甘油辅助制氢的氧化铁光电阳极,氧化铁（α-Fe2O3）因其丰富、合适的带隙和在水中的稳定性而成为光电化学水分解中一种有吸引力的光阳极，但其实际应用仍然受到电荷传输差和水氧化缓慢的限制。在这里，我们表明，可以使用 Ge 和 Ti 共掺杂 Fe2O3 光阳极来解决这些限制，该光阳极将甘油氧化与模拟单太阳光照（100 mW cm-2）下的阴极析氢耦合起来。在含有 2.0 M 甘油的 1.0 M NaOH 中，与可逆氢电极相比，光阳极在 1.23 V 电压下的光电流密度为 8.87 mA cm-2，高于 8.1 mA cm-2 的实际基准。 Ge的掺入还使得甘油能够选择性氧化为丙三醇酸，丙三醇氧化的增值产物。电化学分析和密度泛函理论计算表明，Ge 和 Ti 共掺杂提高了电荷利用率，同时 Ge 还促进了丙醇二酸形成途径。,,8a743f0ac1d87abb
