title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Intrinsic polarization superjunctions in III-nitride heterostructures for efficient power electronics,https://www.nature.com/articles/s41928-026-01691-4,,Nature Electronics,2026-08-28 00:00:00+00:00,10.1038/s41928-026-01691-4,Elison Matioli,,"Abstract
                  
                    III-nitride semiconductors combine a wide bandgap with low sheet resistance and, thus, can be used for efficient power electronics. Their lateral architecture also enables monolithic integration on cost-effective silicon. However, electric-field crowding, as well as surface and buffer trapping, limit the breakdown voltage, degrade dynamic performance and reduce reliability. Here we report intrinsic polarization superjunctions in III-nitride heterostructures for efficient power electronics. We use the spontaneous and piezoelectric polarization fields to induce matched mobile electrons in a two-dimensional electron gas and mobile holes in a two-dimensional hole gas, forming an intrinsically charge-balanced superjunction without intentional doping. With an ohmic contact to the two-dimensional hole gas, both carrier types can be dynamically depleted during switching, which preserves drift-region charge neutrality, producing a nearly uniform electric field and increasing the breakdown voltage under operating conditions. We use the approach to create gallium-nitride-on-silicon polarization superjunction Schottky barrier diodes with a breakdown voltage exceeding 3.9 kV and a specific ON resistance as low as 4.7 mΩ cm
                    2
                    , as well as polarization superjunction transistors with a breakdown voltage exceeding 3.4 kV. The devices exhibit a near-ideal dynamic ON-resistance degradation of less than 15% up to 3 kV, as well as repeatable, temperature-stable and avalanche-like breakdown.",crossref,,III族氮化物异质结构中的本征极化超结用于高效电力电子器件,"摘要

                  
                    III族氮化物半导体兼具宽禁带和低薄层电阻的特点，因而可用于高效电力电子器件。其横向架构还能实现高性价比硅衬底上的单片集成。然而，电场集中以及表面和缓冲层陷阱效应限制了击穿电压，劣化了动态性能并降低了可靠性。本文报道了用于高效电力电子器件的III族氮化物异质结构本征极化超结。我们利用自发极化和压电极化场在二维电子气中感应出匹配的可动电子，并在二维空穴气中感应出可动空穴，从而在无需有意掺杂的情况下形成本征电荷平衡的超结。借助与二维空穴气的欧姆接触，两类载流子在开关过程中均可被动态耗尽，从而保持漂移区电荷中性，产生近乎均匀的电场，并提高工作条件下的击穿电压。我们利用该方法制备了硅上氮化镓极化超结肖特基势垒二极管，其击穿电压超过3.9 kV，比导通电阻低至4.7 mΩ cm2，并制备了击穿电压超过3.4 kV的极化超结晶体管。该器件在3 kV以内表现出低于15%的近理想动态导通电阻退化，并具有可重复、温度稳定且类似雪崩的击穿特性。",,d5c01dd2218eae32
Scalable Hierarchical Structuring Enables Robust Non-Wetting Condensation and Anti-Frosting on Stainless Steel,https://doi.org/10.1021/acsami.6c10570,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10570,Jin Yao Ho,,"Abstract Scalable fabrication of surface morphologies with sufficiently high energy barriers remains a key limitation in achieving stable non-wetting condensation on stainless steel, as its chemical resilience makes controlled surface structuring challenging. Here, we leverage the intrinsic microstructural features of additively manufactured 316L stainless steel to generate dense microneedle arrays, further decorated with nanostructures to enhance wetting resistance and enable sustained coalescence-induced droplet jumping. The engineered surface maintains stable droplet removal under pure vapor conditions, achieving a 2.5–3.7 X enhancement in heat transfer coefficient compared to filmwise condensation, across a subcooling range of 4.1 to 11.3 K. Notably, strong resistance to wetting transitions is observed across a wide range of supersaturation conditions during a continuous 20 h test. In addition, frosting is significantly delayed by suppressing ice nucleation and propagation, retaining approximately 60% frost-free area after 180 min at –10 °C and 50% frost-free area after 100 min at –13 °C whereas the untreated surface is fully covered by frost within the first 10 to 30 min. This work establishes a scalable strategy for stabilizing non-wetting condensation on stainless steel, enabling improved thermal performance and expanding the application space of additively manufactured metals.",crossref,,可扩展分级结构实现不锈钢表面稳健的不润湿冷凝与防结霜,摘要 在不锈钢上实现稳定的非润湿冷凝，其关键限制之一仍是如何可规模化地制备具有足够高能垒的表面形貌，因为不锈钢的化学稳定性使可控的表面结构化具有挑战性。在此，我们利用增材制造316L不锈钢固有的微观结构特征生成密集的微针阵列，并进一步以纳米结构修饰，以增强抗润湿性并实现持续的聚并诱导液滴弹跳。该工程表面在纯蒸气条件下保持稳定的液滴脱除，在4.1至11.3 K的过冷度范围内，与膜状冷凝相比传热系数提升2.5–3.7倍。值得注意的是，在连续20小时测试中，在很宽的过饱和度范围内均观察到对润湿转变的强抵抗能力。此外，通过抑制冰成核与扩展，结霜被显著延迟，在–10 °C下180分钟后仍保持约60%的无霜面积，在–13 °C下100分钟后保持50%的无霜面积，而未处理表面在最初的10至30分钟内即被霜完全覆盖。这项工作确立了一种使不锈钢上非润湿冷凝稳定化的可扩展策略，可提升热性能并拓展增材制造金属的应用空间。,,60543889211c4d49
Dual-Oxide-Modified Electrospun Carbon Nanofibers Enabling Hierarchically Porous Composite Electrodes for Regulated Zinc Deposition in Zinc–Manganese Flow Batteries,https://doi.org/10.1021/acsami.6c12815,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c12815,Qing Zhang,,"Abstract Zinc-based flow batteries (ZBFBs) are promising candidates for large-scale energy storage. However, their practical application is limited by uneven interfacial electric fields and uncontrolled dendrite growth during zinc deposition. Herein, we report a hierarchical zincophilic composite electrode combining a conventional carbon felt with an electrospun carbon nanofiber scaffold modified by ZnO and SiO2. This multiscale porous structure improves both electrolyte transport and charge distribution. Specifically, the macroporous carbon felt facilitates electrolyte flow, while the nanofiber network increases the electrochemically active surface area to homogenize the local electric field. Furthermore, the dual oxides act as regulated zinc nucleation sites and mechanical plasticizing components, lowering the nucleation overpotential and relieving localized stress during repeated plating and stripping. Consequently, the electrode promotes uniform and highly reversible zinc deposition under high areal loading. The resulting ZBFBs achieve highly stable performance for over 50,000 cycles at 60 mA cm–2, demonstrating exceptional durability under practical, high-current-density operations.",crossref,,双氧化物修饰的静电纺丝碳纳米纤维实现分级多孔复合电极用于锌锰液流电池中锌沉积的调控,"摘要 锌基液流电池（ZBFBs）是大规模储能的有力候选技术。然而，其实际应用受到锌沉积过程中不均匀的界面电场和不可控的枝晶生长的限制。本文报道了一种分级亲锌复合电极，它将传统碳毡与经ZnO和SiO2修饰的静电纺丝碳纳米纤维骨架相结合。这种多尺度多孔结构同时改善了电解液输运和电荷分布。具体而言，大孔碳毡促进电解液流动，而纳米纤维网络增大电化学活性表面积以均匀化局部电场。此外，双氧化物作为调控的锌成核位点和力学增塑组分，降低了成核过电位，并缓解了反复沉积/剥离过程中的局部应力。因此，该电极在高面载量下促进了均匀且高度可逆的锌沉积。所得ZBFBs在60 mA cm–2下循环超过50,000次仍保持高度稳定的性能，展示了在实际高电流密度运行下卓越的耐久性。",,55f4a874c738436c
"Nanodiamonds in Filtration and Adsorption Systems: Structure-Property Relationships, Immobilization Strategies, and Emerging Applications",https://doi.org/10.1021/acsami.6c11549,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c11549,Stepan Stehlik,,"Abstract Nanodiamonds (NDs) combine the exceptional hardness, chemical durability, and thermal stability of bulk diamond with a high surface-to-volume ratio and widely tunable surface chemistry. These properties enable broad control over surface charge, polarity, hydration, and interfacial interactions, making NDs attractive for adsorption and water-treatment applications. Nevertheless, their practical potential in these fields remains substantially underdeveloped relative to the depth of accumulated physicochemical knowledge. This review critically examines known and filtration-relevant interactions between ND surfaces and dissolved species, and evaluates how these interactions could be exploited in adsorption and filtration technologies. We compare the two technologically relevant ND classes—detonation nanodiamonds (DNDs) and high-pressure high-temperature (HPHT) NDs—and analyze the consequences of surface termination, defect structure, nitrogen content, and colloidal state for zeta potential, hydration, and interfacial reactivity in aqueous environments. A particular focus is placed on hydrogenated NDs, which exhibit an unusual combination of strongly positive electrokinetic response, pronounced interfacial water structuring, and surface electronic effects associated with charge transfer and particle structure that distinguish them from oxidized NDs and other carbon nanomaterials. We systematically review documented interactions between ND surfaces and relevant pollutant classes: multivalent metal ions, charged organic molecules, PFAS, and biomolecules, drawing on literature from water treatment, biomedicine, and chromatography to establish the breadth of ND interfacial chemistry. A central argument of this review is that the functional unit in ND-based filtration is the accessible ND surface: immobilization strategies that preserve surface exposure-electrostatic deposition, covalent grafting, and thermally assisted stabilization on inorganic supports-are critically distinguished from embedded composite approaches where ND surfaces are mostly buried and rendered passive. We identify the translation of these immobilization strategies to polymer membrane supports as the principal unresolved engineering challenge, and outline the role of ND structural heterogeneity, long-term surface stability, and scalable deaggregation as key scientific priorities for realizing the full potential of NDs in next-generation filtration systems.",crossref,,纳米金刚石在过滤与吸附体系中的应用于：结构-性能关系、固定化策略及新兴应用,摘要 纳米金刚石（NDs）兼具块体金刚石卓越的硬度、化学耐久性和热稳定性，以及高比表面积和广泛可调的表面化学。这些性质使其能够对表面电荷、极性、水合及界面相互作用实现广泛调控，使NDs在吸附和水处理应用中颇具吸引力。尽管如此，相对于已积累的物理化学知识的深度，其在这些领域的实际潜力仍未得到充分开发。本综述批判性地考察了ND表面与溶解物种之间已知的、与过滤相关的相互作用，并评估了如何在吸附和过滤技术中利用这些相互作用。我们比较了两类具有技术相关性的ND——爆轰纳米金刚石（DNDs）和高温高压（HPHT）NDs——并分析了表面终端、缺陷结构、氮含量和胶体状态对水相环境中Zeta电位、水合及界面反应性的影响。特别关注了氢化NDs，它们表现出强正电动力学响应、显著界面水结构化以及与电荷转移和颗粒结构相关的表面电子效应的独特组合，这使其区别于氧化NDs和其他碳纳米材料。我们系统综述了ND表面与相关污染物类别（多价金属离子、带电有机分子、PFAS和生物分子）之间已记录的相互作用，并借鉴文,,9231588685c68790
Guiding Orthorhombic Phase Evolution in Ultrathin (&lt;4 nm) Hf0.5Zr0.5O2 on Germanium,https://doi.org/10.1021/acsami.6c07997,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c07997,Chee Wee Liu,,"Abstract The integration of scalable, high-performance Hf0.5Zr0.5O2 (HZO) ferroelectric materials with high-mobility channels such as germanium is critical for next-generation logic and memory devices. However, maintaining robust ferroelectricity in films thinner than 5 nm remains a major challenge. In this study, we systematically investigate 3.7-nm HZO films incorporated into a titanium nitride/HZO/Ge capacitor structure. We demonstrate that a conventional single-step post-metallization annealing (PMA) process is insufficient for inducing strong ferroelectricity in ultrathin HZO films. To address this limitation, we formulate a synergistic strategy combining interface engineering with ZrO2-termination and a two-step annealing sequence comprising post-deposition annealing (PDA) followed by PMA. This approach stabilizes the ferroelectric orthorhombic o(020)/o(002) phase and produces robust remanent polarization and improved polarization–voltage loop (P–V loop) squareness, as reflected by an enhanced polarization ratio and (dP/dV)max. Consequently, polarization switching becomes more complete and the P–V loop becomes more rectangular. Comprehensive structural, spectroscopic, theoretical, and electrical analyses further confirm the effectiveness of this strategy. This study provides mechanistic insights into the integration of ultrathin ferroelectric HZO with Ge-based electronic platforms.",crossref,,引导超薄（<4 nm）Hf0.5Zr0.5O2在锗上的正交相演变,摘要 将可规模化、高性能的Hf0.5Zr0.5O2（HZO）铁电材料与锗等高迁移率沟道集成，对下一代逻辑和存储器件至关重要。然而，在厚度小于5 nm的薄膜中保持稳健的铁电性仍是一项重大挑战。在本研究中，我们系统研究了集成于氮化钛/HZO/Ge电容器结构中的3.7 nm HZO薄膜。我们证明，常规的单步金属化后退火（PMA）工艺不足以在超薄HZO薄膜中诱导强铁电性。为解决这一局限，我们制定了一种协同策略，将ZrO2终端的界面工程与先沉积后退火（PDA）再PMA的两步退火序列相结合。该方法稳定了铁电正交o(020)/o(002)相，产生了稳健的剩余极化和改善的极化—电压回线（P–V回线）方形度，体现在增强的极化比和(dP/dV)max上。因此，极化翻转更加完全，P–V回线更加矩形。全面的结构、光谱、理论和电学分析进一步证实了该策略的有效性。本研究为超薄铁电HZO与锗基电子平台的集成提供了机理认识。,,7ee54af15b141776
Structurally Engineered Polyimide Microsphere/Nanofibrous Gradient Aerogels with Enhanced Dust-Holding Capacity for High-Temperature Air Filtration,https://doi.org/10.1021/acsami.6c10042,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10042,Bin Ding,,"Abstract With the increasing emission of particulate matter (PM) from industrial and transportation activities, the demand for filtration materials exhibiting high thermal and chemical stability is growing. Nanofiber materials have attracted significant attention owing to their small fiber diameter, high porosity, and large specific surface area, which enhance their initial filtration efficiency. However, their densely packed architectures and uniform pore distributions lead to rapid surface cake formation, increasing airflow resistance and limiting dust-holding capacity. In contrast, three-dimensional gradient aerogel structures incorporate multiscale pore channels that facilitate depth filtration. Such architectures provide greater dust storage capacity and delay pore blockage, thereby significantly improving overall filtration performance. Here, gradient nanofiber aerogels (MGPAs) with a microsphere structure were successfully fabricated based on a single-component polyimide system. Utilizing single-component materials enhances recyclability and ensures uniform thermal expansion under temperature fluctuations, which is crucial for high-temperature filtration applications. The prepared material exhibits a dual-layer gradient nanofiber aerogel structure, comprising coarse fibers (≈730 nm) and medium fibers (≈300 nm). Furthermore, a composite functional layer composed of microspheres (≈3.34 μm) and ultrafine fibers (≈60 nm) was deposited onto the medium-fiber layer surface. Benefiting from this hierarchical structure, the MGPAs exhibit a PM0.3 filtration efficiency of 99.996%, with an initial pressure drop as low as 45.08 Pa, and a dust-holding capacity of 127 g/m2. Even at 300 °C, it maintains a filtration efficiency of 99.91%. This demonstrates their excellent thermal stability. The developed MGPAs offer significant potential for high-temperature exhaust gas filtration applications.",crossref,,结构工程化聚酰亚胺微球/纳米纤维梯度气凝胶增强容尘量用于高温空气过滤,摘要 随着工业和交通运输活动中颗粒物（PM）排放的日益增加，对具有高热稳定性和化学稳定性的过滤材料的需求不断增长。纳米纤维材料因其纤维直径小、孔隙率高和比表面积大而备受关注，这些特性提高了其初始过滤效率。然而，其密实堆积的结构和均匀的孔径分布导致表面快速形成滤饼，增大了气流阻力并限制了容尘量。相比之下，三维梯度气凝胶结构包含多尺度孔道，有利于深层过滤。此类结构提供了更大的粉尘储存容量并延缓孔隙堵塞，从而显著提升整体过滤性能。本文基于单组分聚酰亚胺体系成功制备了具有微球结构的梯度纳米纤维气凝胶（MGPAs）。采用单组分材料增强了可回收性，并确保在温度波动下热膨胀均匀，这对高温过滤应用至关重要。所制备的材料呈现双层梯度纳米纤维气凝胶结构，由粗纤维（≈730 nm）和中纤维（≈300 nm）组成。此外，由微球（≈3.34 μm）和超细纤维（≈60 nm）组成的复合功能层沉积于中纤维层表面。得益于这种分级结构，MGPAs对PM0.3的过滤效率达到99.99,,376391cf27b2219f
Dual-State Emissive Imidazole-Based Photoswitches by Design and Their Use for Data Encryption,https://doi.org/10.1021/acsami.6c10426,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10426,José Luis Belmonte-Vázquez,,"Abstract Herein, we report the rational design, synthesis, and photophysical characterization of a new family of N-substituted 2,4,5-arylimidazole derivatives that integrate excited-state intramolecular proton transfer (ESIPT) and intramolecular charge transfer (ICT) to achieve reversible photochromism. Solvatochromic studies revealed pronounced shifts in emission (392–457 nm) and large Stokes shifts (4252–7776 cm–1), indicating significant excited-state charge separation driven by the N,N-diethylamino donor group. Lippert–Mataga and time-resolved photoluminescence (TRPL) analysis confirmed the dominant ICT character, particularly for N-aryl derivatives (Δμ = 9.26–9.73 D), which exhibited larger dipole moment changes than N-alkyl derivatives (Δμ = 8.17–8.34 D). Upon UV irradiation (395 nm), reversible E/Z keto photoisomerization was observed both in solution and in the solid state, confirmed by UV-vis, photoluminescence, and infrared spectroscopy. Single crystal X-ray diffraction showed that N-alkyl chain length enhances torsional angles, directly influencing the photoswitching behavior and dual-state emissive properties with quantum yields of Φ = 25% in toluene and Φ = 77% in the solid state for IM-N-Bu. Thermal treatment (80 °C) enabled full reversibility in toluene and poly(methyl methacrylate) (PMMA) films over multiple cycles, which were applied to data encryption, demonstrating their potential in photonic and information security technologies.",crossref,,双态发射的咪唑类光开关的设计及其在数据加密中的应用,"摘要 本文报道了一系列新型N-取代2,4,5-芳基咪唑衍生物的合理设计、合成及光物理表征，该系列衍生物整合了激发态分子内质子转移（ESIPT）与分子内电荷转移（ICT），以实现可逆光致变色。溶剂化变色研究表明，其发射峰发生显著红移（392–457 nm），并具有大的Stokes位移（4252–7776 cm–1），表明N,N-二乙氨基供体基团驱动的显著激发态电荷分离。Lippert–Mataga分析和时间分辨光致发光（TRPL）分析证实了其以ICT特性为主导，尤其是N-芳基衍生物（Δμ = 9.26–9.73 D），其偶极矩变化大于N-烷基衍生物（Δμ = 8.17–8.34 D）。在紫外光照射（395 nm）下，无论在溶液中还是固态中均观察到可逆的E/Z酮式光异构化，并通过紫外-可见、光致发光和红外光谱予以证实。单晶X射线衍射表明，N-烷基链长度增大了扭转角，直接影响了光开关行为和双态发射性能，其中IM-N-Bu在甲苯中的量子产率为Φ = 25%，在固态中为Φ = 77%。热处理（80 °C）使其在甲苯和聚甲基丙烯酸甲酯（PMMA）薄膜中经多个循环后仍能完全可逆，该材料被应用于数据加密，展示了其在光子学与信息安全技术中的潜力。",,b67e9a1d8fbcfdcc
Tuning Interparticle Interactions in Graphene Oxide Dispersions for Enhanced Shear-Induced Alignment,https://doi.org/10.1021/acsami.6c12671,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c12671,So Youn Kim,,"Abstract The macroscopic behavior of colloidal materials is governed by interactions between their microscopic building blocks. In anisotropic colloidal systems, subtle variations in interparticle forces can lead to dramatic changes in phase behavior, flow response, and alignment under shear. Here, we systematically investigate how ionic strength controls the structural state, rheology, and alignment dynamics of aqueous graphene oxide (GO) dispersions, and how these effects translate into the performance of wet-spun fibers. By varying the NaCl concentration, we tune the GO system across three regimes: a jammed repulsive glass state at low salt, an aggregation-dominated state at high salt, and a relaxed soft glassy state that allows for structural rearrangement. In this intermediate regime (∼1–5 mM NaCl), the dispersions exhibit the lowest yield stress and the fastest domain reorientation under shear, as observed via shear polarized optical microscopy (shear-POM) and rheo-small-angle X-ray scattering (rheo-SAXS). When processed into fibers via wet spinning, dispersions from this regime yield markedly higher alignment, tensile strength, and electrical conductivity than those from either the jammed or the aggregated state. These findings establish a multiscale structure−rheology−alignment−property relationship in GO dispersions, in which shear-induced alignment is determined by the balance of interparticle interactions and the resulting structural state.",crossref,,调控氧化石墨烯分散体中的颗粒间相互作用以增强剪切诱导取向,摘要 胶体材料的宏观行为由其微观结构单元之间的相互作用所支配。在各向异性胶体体系中，颗粒间作用力的微小变化可导致相行为、流动响应以及剪切下取向的剧烈改变。本文系统研究了离子强度如何控制水性氧化石墨烯（GO）分散液的结构状态、流变学和取向动力学，以及这些效应如何转化为湿法纺丝纤维的性能。通过改变NaCl浓度，我们将GO体系调节至三种状态：低盐下的阻塞排斥玻璃态、高盐下的聚集主导状态，以及允许结构重排的松弛软玻璃态。在这一中间状态（约1–5 mM NaCl）下，分散液表现出最低的屈服应力和最快的剪切下畴重新取向，这通过剪切偏光显微镜（shear-POM）和流变-小角X射线散射（rheo-SAXS）观察到。当通过湿法纺丝加工成纤维时，来自该状态的分散液相比阻塞态或聚集态均获得了显著更高的取向度、拉伸强度和电导率。这些发现建立了GO分散液中跨尺度的结构−流变−取向−性能关系，其中剪切诱导取向由颗粒间相互作用的平衡及由此产生的结构状态所决定。,,78d0173bf754feb5
Biomimetic Diatom Surface-Enhanced Raman Scattering Microcavity Array with Multiscale Structure Synergy Enhancement,https://doi.org/10.1021/acsami.6c14286,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c14286,Deyuan Zhang,,"Abstract Diatoms are a type of organism with a natural three-dimensional porous sieve chamber structure. Their sieve plates exhibit multi-level porous features and can control the distribution of light fields through micronano structures, generating resonance coupling and local field enhancement effects. Although surface-enhanced Raman scattering (SERS) substrates have achieved ultra-high sensitivity detection, they often encounter problems such as poor signal uniformity and uncontrollable molecular distribution. Inspired by the above-mentioned structural characteristics of diatoms, this paper mimics their three-dimensional porous sieve chamber structure to construct a biomimetic three-dimensional microcavity array SERS substrate. By combining the vertical microcavity structure and array design at the micronano scale, multi-scale collaborative enhancement is achieved. This substrate features a large-area high-order array structure, regular three-dimensional microcavities, and the scalability of functional modification. Through systematic regulation of the microcavity height, both experimental and simulation results reveal a significant cavity height-controlled SERS enhancement behavior, which is attributed to the effective coupling between the microcavity optical resonance and local surface plasmon hotspots. Additionally, the designed microcavity structure induces active enrichment of molecules during the drying of droplets, effectively suppressing the coffee ring effect. The minimum detectable concentration of rhodamine can reach 10–12 M, with good uniformity and repeatability. This biomimetic three-dimensional SERS substrate achieves a unified high sensitivity and uniformity through the collaborative effects at the nano, micro, and macro scales, providing a universal strategy for the structural design of high-performance SERS substrates.",crossref,,具有多尺度结构协同增强的仿生硅藻表面增强拉曼散射微腔阵列,摘要 硅藻是一类具有天然三维多孔筛室结构的生物体。其筛板展现出多级多孔特征，可通过微纳结构控制光场分布，产生共振耦合和局域场增强效应。尽管表面增强拉曼散射（SERS）基底已实现超高灵敏度检测，但常面临信号均匀性差和分子分布不可控等问题。受上述硅藻结构特征的启发，本文模仿其三维多孔筛室结构，构建了仿生三维微腔阵列SERS基底。通过在微纳尺度上结合垂直微腔结构与阵列设计，实现了多尺度协同增强。该基底具有大面积高阶阵列结构、规则的三维微腔以及功能化修饰的可扩展性。通过对微腔高度的系统性调控，实验与模拟结果均揭示了显著的腔高控制的SERS增强行为，这归因于微腔光学共振与局域表面等离激元热点之间的有效耦合。此外，所设计的微腔结构在液滴干燥过程中诱导分子的主动富集，有效抑制了咖啡环效应。罗丹明的最低可检测浓度可达10–12 M，且具有良好的均匀性和重复,,c1be5e1973d9f2c3
Novel Multi-Pyridyl-Functionalized Spirobifluorenes as Precursor Additives for Improving Efficient and Stable Perovskite Solar Cells,https://doi.org/10.1021/acsami.6c13903,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c13903,Jian Zhou,,"Abstract Significant advancement of additive engineering has primarily focused on the improved perovskite film quality by the regulation of crystallization rates or defect passivation, thereby enabling highly efficient and stable solar cells; however, current research on the incorporation of functional additives into perovskite precursor solutions to simultaneously gain crystallization improvement and reduced defects in the perovskite film remains a significant challenge. Herein, two novel multi-pyridyl-functionalized spirobifluorene additives (designated as SBF-3-py and SBF-4-py) achieved by a facile Suzuki cross-coupling reaction are first incorporated into the perovskite precursor for producing high-quality perovskite films. SBF-3-py or SBF-4-py with spirobifluorene and multiple pyridyl groups can form multi-site interactions with perovskite components, thereby improving the perovskite film crystallization, simultaneously passivating VI and PbI defects, modulating energy level alignment, and promoting carrier mobility. Consequently, the inverted perovskite solar cells (PSCs) with SBF-3-py or SBF-4-py treatment acquire a remarkably high power conversion efficiency (PCE) of 20.65 or 20.98% with low hysteresis, distinctly surpassing the control PSC (PCE = 18.67%), along with markedly improved stability. This work pioneers a new class of small organic additives for the simultaneous realization of crystallization improvement and defect reduction of the perovskite film in highly efficient and stable devices.",crossref,,新型多吡啶基功能化螺芴作为提升钙钛矿太阳能电池效率与稳定性的前驱体添加剂,摘要 添加剂工程的重大进展主要集中于通过调控结晶速率或缺陷钝化来改善钙钛矿薄膜质量，从而实现高效稳定的太阳能电池；然而，目前关于在钙钛矿前驱体溶液中引入功能添加剂以同时实现结晶改善和钙钛矿薄膜缺陷减少的研究仍面临重大挑战。本文通过简便的Suzuki交叉偶联反应获得了两种新型多吡啶基功能化螺二芴添加剂（分别命名为SBF-3-py和SBF-4-py），并首次将其引入钙钛矿前驱体中以制备高质量钙钛矿薄膜。具有螺二芴结构和多个吡啶基团的SBF-3-py或SBF-4-py可与钙钛矿组分形成多位点相互作用，从而改善钙钛矿薄膜结晶，同时钝化VI和PbI缺陷，调节能级排列并促进载流子迁移。因此，经SBF-3-py或SBF-4-py处理的倒置钙钛矿太阳能电池（PSC）获得了20.65%或20.98%的显著高功率转换效率（PCE），且滞后低，明显优于对照PSC（PCE = 18.67%），同时稳定性显著提高。本工作开创了一类新型小分子有机添加剂，可在高效稳定器件中同时实现钙钛矿薄膜的结晶改善和缺陷减少。,,147ca465762fe3f2
