stable_id,title_zh,abstract_zh
4fa7a0575a58a494,不依赖酶活性的 NANS 稳定 LATS2，以促进 HR+/HER2- 乳腺癌的生长和治疗耐药性,激素受体阳性、人表皮生长因子受体 2 阴性 (HR+ /HER2-) 乳腺癌是女性中最常见的亚型，经常受到内分泌治疗和 CDK4/6 抑制剂耐药的挑战。在这里，我们发现女性 HR+/HER2- 乳腺癌患者中 N-乙酰神经氨酸合酶 (NANS) 显着上调，与患者预后呈负相关。从功能上讲，NANS 促进肿瘤生长并赋予对他莫昔芬和 CDK4/6 抑制剂的抗性，与其典型的酶活性无关。从机制上讲，NANS 招募泛素特异性蛋白酶 7 (USP7) 去泛素化并稳定大肿瘤抑制激酶 2 (LATS2)，从而导致典型的 Hippo 通路激活以及雌激素受体 α 和 CDK4 的上调。将 LATS2 重新引入 NANS 耗尽的细胞中，可以在体外和体内部分挽救受损的生长促进和耐药表型。此外，NANS-USP7/LATS2 轴的临床相关性在患者来源的女性 HR+/HER2- 乳腺癌样本中得到证实。总之，我们的研究结果揭示了 NANS 在驱动治疗抵抗中的独立于酶活性的作用，将其提名为有前途的治疗靶点。
ec7850f30c44b52a,欧洲绿色新政中能源多元化和环境可持续性的关键挑战：来自欧洲国家的经验证据,《欧洲绿色协议》将能源多样化和环境可持续性确定为实现安全、有弹性和气候中性的能源系统的两个核心支柱。尽管之前的研究分别考察了环境可持续性和能源转型的决定因素，但关于能源多样化、全球化、金融发展、自然资本和结构变革如何在欧洲绿色新政框架内共同塑造环境可持续性的证据有限。本研究通过调查 1995 年至 2023 年期间 26 个欧洲国家环境可持续性的宏观经济决定因素来弥补这一差距。该分析采用动态系统 GMM 作为主要估计方法，并辅以 CS-ARDL 来检查长期关系，并采用具有 SHAP 可解释性的机器学习模型来评估解释变量的相对重要性。结果表明，随着时间的推移，环境可持续性具有很强的持久性。结构变化是唯一重要的短期决定因素，而能源多样化和政治全球化则表现出显着的负面长期影响，而金融发展和自然资本对环境可持续性没有表现出强大的长期影响。这些发现表明，除非有可再生能源部署、技术创新和有效的环境治理的支持，否则单靠能源多样化并不能保证环境的可持续性。通过将动态计量经济学技术与可解释的机器学习相结合
49e8fb10e7cf2320,俄罗斯入侵乌克兰后的地缘政治分裂、能源脆弱性和国家 ESG 轨迹,
536eab25bb3be5c6,海湾合作委员会的气候与电力关系：气温上升如何推动海湾国家的电力需求,海湾合作委员会地区的升温速度为每十年 0.49°C，几乎是全球平均水平的三倍，这给已经面临极端冷却需求的电力系统带来了越来越大的压力。本研究利用协整技术估计了海湾合作委员会国家 1990 年至 2022 年期间特定国家电力需求的收入、价格和温度弹性。我们发现，年平均气温每升高 1°C，年用电量就会增加 3.1%（巴林）至 5.8%（沙特阿拉伯），相当于每年增加 32.2 TWh 的地区需求和 16.8 Mt CO 2 排放量。排放量估算基于 2021 年特定国家的碳强度，反映了每个国家当前的发电燃料结构（IEA，2024 年；Ember，2023 年）。额外发电每年将花费约 19 亿美元。收入弹性范围为 0.25 至 1.37，价格弹性范围为 -0.08 至 -0.61，揭示了由于家电饱和度、补贴结构和关税改革历史的差异而导致的巨大的跨国异质性。分解分析证实，气温以及人口和收入增长是电力消费的首要驱动因素，而对沙特阿拉伯 2016-2018 年定价改革的需求反应表明，精心设计的电价调整可以部分抵消气候驱动的需求增长。研究结果强调了提高建筑能效、先进冷却技术以及持续定价改革以将电力需求与气温上升脱钩以支持全球变暖的紧迫性。
fb289dfecd6bd6f1,地缘政治冲突与企业能源转型：俄罗斯-乌克兰冲突的准自然实验,
374069858253e1c3,电动汽车双向充电，通过分布式太阳能发电实现可持续能源管理,
9345f29ca2ef0f10,源负荷不确定性下基于燃料电池热电联产的综合能源系统的法学硕士驱动的自适应调度框架,
68ec6f206627f132,Leiomodin2 是肌动蛋白丝尖端的聚合酶,生物物理学和结构研究发现，leiomodin 2（一种在肌肉细胞中发现的蛋白质）是第一个促进肌动蛋白丝在缓慢生长的“尖端”伸长的分子。这一突破将刺激人们回答有关这一过程机制的许多令人费解的问题。
fc21460b4774ffc1,消费者什么时候会因可变电价而蒙受损失？,
90966b84106f05f4,N-杂芳烃氯化物的光氧化还原加氢脱氯过程中的大低场磁增强受笼逃逸不良的限制,光氧化还原催化的效率长期以来一直受到自由基离子对（RIP）内快速反向电子转移（BET）的阻碍。虽然外部磁场可以调节 RIP 的自旋动力学来抑制 BET，但在低磁场强度下实现大磁场效应 (MFE) 仍然是一个艰巨的挑战。在此，我们报道了在 N2 的光氧化还原加氢脱氯中，MFE 非常大，量子产率提高超过 130%，产率提高高达 160%。
