stable_id,title_zh,abstract_zh
7a236d583dc7ab6b,具有物理一致神经常微分方程的异构恒温控制负载的分布式灵活调度,恒温控制负载（TCL）是建筑物中的主要能源，为电力系统提供灵活的负载调节。 TCL 的灵活调度需要对热动力学进行建模，以测量室内温度变化，并优化功耗，为电网提供灵活性，同时满足用户的舒适度偏好。然而，当在多个建筑物之间调度 TCL 时，异构的建筑结构和舒适度偏好可能会导致热动力学和温度调节区间的模型复杂性不同，这都会使传统方法不足以甚至无法解决问题。为了应对这一挑战，这项工作首先开发了一种新颖的物理一致神经常微分方程（PC-NODE）模型来表示热动力学，集成权重学习和物理信息损失函数以确保统一的模型结构和物理一致性。然后将开发的连续模型无缝转换为离散方程约束，以表示不同时间间隔的舒适度偏好。此外，提出了一种基于异步交替方向乘子法（ADMM）的分布式优化方法，通过根据时间间隔区分建筑物间局部变量更新的频率，来协调具有异构舒适度偏好的建筑物。 12栋楼调度案例的仿真结果表明，PC-NODE训练的单区域模型显着提高了统计精度，而异步AD
16e4dee1c7a67803,社区共享储能存储服务调度与竞价策略协同优化：分布式鲁棒双层模型,市场参与和用户侧服务提供的协同优化是保证社区共享储能系统有效运行的关键。在履行这一双重角色时，虽然用户端存储消耗有限的资源，但它为优化市场竞价策略带来了关键的灵活性。然而，文献主要关注孤立的优化，忽视了这种用户侧的灵活性，阻碍了社区共享储能系统在电力市场中最大化其经济效益；因此，仍然存在巨大的研究空白。为了弥补这一差距，本文提出了一种将市场交易与用户侧调度相结合的社区共享储能协同优化框架。通过集成用户侧的灵活性，特别是在建立热惯性方面，该框架缓解了资源冲突并增强了市场竞争力。随后，制定了双层协同优化模型来捕获这种分层联合决策。上层代表社区共享储能运营商通过整合用户侧灵活性响应的利润最大化问题，而下层则表征电力市场出清过程。为了验证该框架，采用了传输受限的IEEE 6总线、14总线和30总线测试系统，数值结果表明，集成用户侧灵活性使社区共享储能的总利润提高了3.2%。所提出的模型有效地实现了社区共享能源
967af89a382bc121,美国热带气旋引起停电的高分辨率模拟和建模,风暴引发的停电给社区带来了巨大且不均匀的成本，但运营停电预测模型仍然受到可用数据集的限制。现有方法要么为少数有内部停电记录的公用事业公司提供高分辨率预测，要么在广阔的地区运行，但当地规划的分辨率不足。我们首先组装一个新的亚公里级多公用事业停电数据集来解决这一差距，该数据集将九个州和十个公用事业服务区域的停电记录与受影响的县级客户数据相结合。然后，基于这个新数据集，我们开发了一个拓扑信息统计框架，根据网格风、降水和风暴潮场、配电线路暴露、地下和社会脆弱性特征来估计停电率和受影响的客户数量。在持续的风暴中，该框架的表现优于美国本土 (CONUS) 的现有停电模型。使用经过训练的模型，我们在统一的高分辨率亚公里级网格上重建了十年来由热带气旋驱动的 53 次中断事件。对该数据集的分析表明，与受到类似风速影响的不太脆弱的县相比，社会脆弱性较高的县遭受系统性更高的停电率，部分原因是与最不脆弱的社区相比，社会脆弱性最高的县最有可能遭受高水平的架空暴露。
13d6865ecab0e09d,健康和营养回归到城乡之间清洁烹饪燃料的获取,"获得清洁烹饪燃料对于促进全球健康、公平和环境可持续性至关重要。然而，尽管采取了持续的政策努力，很大一部分家庭，特别是发展中国家的家庭，仍然依赖污染性燃料，对健康、环境质量和经济福祉产生不利影响。本文利用 2000 年至 2022 年 102 个发展中国家的面板数据集来评估获得清洁烹饪燃料与人类福祉之间的关系。使用固定效应和工具变量估计器，我们解决了潜在的内生性问题。我们进一步探讨了农村和城市环境的异质性，并表明，获取机会的改善与城市地区健康和营养结果的更大进步有关。我们以撒哈拉以南非洲地区为重点，进行基于场景的模拟，以量化扩大清洁烹饪燃料使用范围的潜在好处。据估计，将农村普及率从 10% 提高到 25%，可防止约 84,000 名婴儿死亡，并减少约 168 万例儿童发育迟缓病例。在城市地区，以 35% 的覆盖率为基准实现全民普及可避免多达 377,000 名婴儿死亡，并节省超过 1,100 万残疾调整生命年，反映出与家庭空气污染相关的疾病负担大幅减轻。这些结果表明，需要通过有针对性的、针对具体情况的政策，加快普及清洁烹饪燃料的进程。虽然农村人口仍然得不到充分服务并需要持续关注，但"
9c0869cd329caba3,耐用钠离子电池的双驱动阴极电解质相间调节,摘要 保护性不足的阴极电解质界面（CEI）仍然是钠离子电池面临的一个关键挑战，特别是在宽温度条件下。传统的 CEI 形成添加剂依赖于充电过程中电势驱动的分解，导致阴极表面在极化前变得脆弱。在这里，我们使用 N-氟苯磺酰亚胺 (NFSI) 开发了一种双驱动 CEI 调节策略，将接触驱动预形成与电位驱动强化相结合。当与 Na4Fe3(PO4)2P2O7 (NFPP) 接触时，NFSI 会引发自发的界面氧化还原反应，生成富含 NaF 的内层，而中间体 NaNSI 随后在充电过程中被氧化，形成含 N/S 的外层。这种双层 CEI 可抑制电解质分解、过渡金属溶解和界面降解，同时改善 Na+ 传输。 NFSI 含量为 1.0 wt% 时，NFPP/Na 电池在 500 次循环后仍保留 79.9% 的容量，而基础电解质的容量为 45.8%，并且在 –20 至 80 °C 范围内保持循环能力。该策略在其他阴极和 NFPP||HC 全电池中得到了进一步验证，为耐用钠离子电池提供了一种可编程方法。
875de18b8740e71b,光催化乙炔半加氢,"摘要
                  乙炔至乙烯半加氢是聚合物级原料生产的基石工艺，但它仍然以能源密集型贵金属热催化为主。光催化现在正在成为一种引人注目的替代方案，利用光在温和条件下产生反应中间体，并用更安全的质子源（例如水或醇）代替氢气。尽管仍处于起步阶段，但该领域正在迅速发展，越来越多的研究已经在选择性和效率方面取得了显着的成绩。这篇小综述概述了光催化乙炔半加氢，在更广泛的工业背景下框架了最新进展。重点放在机理理解上，比较 ​​π 络合物、氢原子转移 (HAT) 和协同质子耦合电子转移 (CPET) 途径以及用于区分它们的实验工具。讨论了均相和多相催化系统的最新发展，并提出了与效率、可扩展性和技术经济可行性相关的关键挑战，概述了下一代地球丰富的光催化剂的设计原则，并确定了从杂质去除到直接乙炔增值的转变的机会。"
c77cf91afa7c791b,“铠装聚合”解锁同时快速Li+传导和高固化的聚合物电解质,"摘要
                  
                    聚合物电解质由于其简单的加工和优异的电极兼容性，为高性能准固态电池提供了巨大的前景。然而，它们本质上受到一个关键妥协的限制：虽然流动溶剂能够实现更高的离子电导率（
                    σ
                    ），这些溶剂本质上会削弱凝固，因此破坏本质安全。在此，我们提出了一种创新的“装甲聚合”策略，以同时实现快速锂传导和稳健凝固。采用功能化离子共价有机框架（iCOF）作为原位聚合的结构“铠甲”，我们的策略创建了Li减弱的分层、低能垒离子传输途径
                    +
                    ‐聚合物相互作用，同时通过氢键网络固定溶剂分子。所得电解质表现出
                    σ
                    7.6×10
                    −4
                    厘米
                    −1
                    在 25°C 时，Li 升高
                    +
                    转移数（
                    t
                    锂+
                    ）为0.66，具有高凝固的固态特性。值得注意的是，Li||LiFePO
                    4
                    电池具有较长的循环寿命，在 1C 下循环 1500 次后，容量保持率为 92.2%，库仑效率接近 100%，容量保持率为 83.8%"
5e3972267d7ae639,走向稳健的阴离子衍生界面：一种用于高压快速充电钠电池的新型三元溶剂电解质,"摘要
                  
                    传统的碳酸盐电解质存在严重的氧化分解和NaNi不稳定的界面
                    1/3
                    铁
                    1/3
                    锰
                    1/3
                    氧
                    2
                    (NaNFM)正极在高电压和快速充电条件下。在此，通过利用环丁砜（SL）、碳酸二甲酯（DMC）和乙氧基（五氟）环三磷腈（PFPN）溶剂的协同溶剂化结构调节设计了阴离子衍生的界面策略。在新型电解质（表示为SDP）中，SL与Na竞争性配位
                    +
                    抑制 DMC 氧化，而 PFPN 作为游离共溶剂以保持相间稳定性。重要的是，协同相互作用促进阴离子（PF
                    6
                    -
                    ）进入初级溶剂化鞘层，诱导阴离子和溶剂优先分解，形成无机、富含阴离子的阴极电解质界面（CEI），具有高机械模量（19.967 GPa）和均匀厚度（∼7 nm）。因此，SDP 具有良好的循环稳定性（在 3 C、2–4.1 V 下循环 300 次后容量保持率为 85.72%）、高初始库仑效率（92.03%）和优异的倍率容量（57.83 mAh g）
                    −1
                    20°C）。此外，SDP 可有效减轻颗粒破裂、过渡金属溶解和气体逸出 (H
                    2"
c9593cbfd66ee63b,通过分子间 Pummerer 重排模块化合成 C5-磺基噻唑：一个尚未开发的药物化学支架,"摘要
                  
                    将硫取代基引入片段和药物中的杂环核心具有巨大的优势，可以改善关键的药代动力学特性，为合成加工提供额外的载体，并可能增强结合亲和力。尽管具有这种潜力并且在药物发现中很普遍，但由于制备过程中的合成挑战，硫取代的噻唑支架在很大程度上仍未得到充分开发。为了克服访问这些基序的限制，我们报告了一种温和的模块化策略，用于从
                    β
                    ‐通过分子间Pummerer重排生成酮亚砜。该方法显示出优异的官能团耐受性，提供了 50 种源自硫代酰胺和硫脲的不同噻唑支架。该方法的合成和医学影响体现在重磅炸弹β3肾上腺素受体激动剂米拉贝隆的硫醚、亚砜和砜类似物的制备和评估中。关键药代动力学特性的比较表明，细胞通透性、代谢稳定性、亲脂性和血浆蛋白结合得到改善，而不会过度影响相对于母体药物的生物亲和力。"
d8292baf45d8a84d,HL-3托卡马克核心杂质积累的电子回旋波控制集成建模,核心杂质积累会严重降低等离子体限制，甚至可能导致中断；因此，缓解它对于托卡马克装置实现稳定的高性能运行至关重要。本工作基于OMFIT集成建模平台，研究了中性束注入（NBI）加热背景等离子体下HL-3托卡马克中电子回旋波（ECW）对核心钨杂质输运的影响。仿真结果表明，在纯 NBI 情况下，W 杂质密度分布表现出明显的中心峰值，而 ECW 注入可以有效减轻钨积累，控制效率很大程度上取决于功率沉积位置、注入 ECW 功率和电流驱动方案。 ρ ≈ 0.1 处的近轴 ECW 沉积和 ρ ≈ 0.5 处的离轴沉积被发现是有利的杂质控制方案，而 ρ ≈ 0.3 处的中半径沉积提供了相对较弱的抑制效果。两个有效沉积区域对应于不同的主导机制：近轴ECW沉积主要通过增强核心湍流传输和减弱向内对流来减轻W峰化，而离轴沉积主要通过平坦化主离子密度分布从而减少密度梯度驱动的新古典向内收缩来抑制W积累。对于近轴 ECW 沉积，电流驱动方案对 W 传输有重大影响。在逆流驱动情况下，局部安全系数的增加伴随着新古典i的增强
